"College","Priority","Weight"
"Florida Polytechnic University","Interview x",81
"Florida Polytechnic University","Extracurricular activities x",63
"Florida Polytechnic University","Talent/ability x",81
"Florida Polytechnic University","Character/personal qualities x",63
"Florida Polytechnic University","First generation x",99
"Florida Polytechnic University","Alumni/ae relation x",99
"Florida Polytechnic University","Geographical residence x",99
"Florida Polytechnic University","State residency x",99
"Florida Polytechnic University","Religious affiliation/commitment x",99
"Florida Polytechnic University","Racial/ethnic status x",99
"Florida Polytechnic University","Volunteer work x",81
"Florida Polytechnic University","Work experience x",81
"Florida Polytechnic University","Level of applicant’s interest x",81
"Georgia Gwinnett College","Rigor of secondary school record",81
"Georgia Gwinnett College","Class rank",81
"Georgia Gwinnett College","Academic GPA",42
"Georgia Gwinnett College","Standardized test scores",44
"Georgia Gwinnett College","Application Essay",99
"Georgia Gwinnett College","Recommendation(s)",81
"Georgia Gwinnett College","Interview",99
"Georgia Gwinnett College","Extracurricular activities",99
"Georgia Gwinnett College","Talent/ability",99
"Georgia Gwinnett College","Character/personal qualities",99
"Georgia Gwinnett College","First generation",99
"Georgia Gwinnett College","Alumni/ae relation",99
"Georgia Gwinnett College","Geographical residence",99
"Georgia Gwinnett College","State residency",99
"Georgia Gwinnett College","Religious affiliation/commitment",99
"Georgia Gwinnett College","Racial/ethnic status",99
"Georgia Gwinnett College","Volunteer work",99
"Georgia Gwinnett College","Work experience",99
"Georgia Gwinnett College","Level of applicant’s interest",99
"Georgia Institute of Technology","Class rank",96
"Georgia Institute of Technology","Academic GPA",41
"Georgia Institute of Technology","Standardized test scores",60
"Georgia Institute of Technology","Application Essay",41
"Georgia Institute of Technology","Recommendation(s)",78
"Georgia Institute of Technology","Interview",96
"Georgia Institute of Technology","Extracurricular activities",41
"Georgia Institute of Technology","Talent/ability",78
"Georgia Institute of Technology","Character/personal qualities",41
"Georgia Institute of Technology","First generation",78
"Georgia Institute of Technology","Alumni/ae relation",78
"Georgia Institute of Technology","Geographical residence",60
"Georgia Institute of Technology","State residency",60
"Georgia Institute of Technology","Religious affiliation/commitment",96
"Georgia Institute of Technology","Racial/ethnic status",78
"Georgia Institute of Technology","Volunteer work",41
"Georgia Institute of Technology","Work experience",41
"Georgia Institute of Technology","Level of applicant’s interest",96
"Grinnell College","Rigor of secondary school record x",42
"Grinnell College","Class rank x",42
"Grinnell College","Academic GPA x",42
"Grinnell College","Standardized test scores x",59
"Grinnell College","Application Essay x",59
"Grinnell College","Recommendation(s) x",42
"Grinnell College","Interview x",76
"Grinnell College","Extracurricular activities x",59
"Grinnell College","Talent/ability x",59
"Grinnell College","Character/personal qualities x",76
"Grinnell College","First generation x",76
"Grinnell College","Alumni/ae relation x",76
"Grinnell College","Geographical residence x",76
"Grinnell College","State residency x",76
"Grinnell College","Religious affiliation/commitment x",93
"Grinnell College","Racial/ethnic status x",76
"Grinnell College","Volunteer work x",76
"Grinnell College","Work experience x",76
"Grinnell College","Level of applicant’s interest x",76
"Gustavus Adolphus College","Rigor of secondary school record",45
"Gustavus Adolphus College","Class rank",64
"Gustavus Adolphus College","Academic GPA",43
"Gustavus Adolphus College","Standardized test scores",80
"Gustavus Adolphus College","Application Essay",64
"Gustavus Adolphus College","Recommendation(s)",64
"Gustavus Adolphus College","Interview",64
"Gustavus Adolphus College","Extracurricular activities",80
"Gustavus Adolphus College","Talent/ability",80
"Gustavus Adolphus College","Character/personal qualities",80
"Gustavus Adolphus College","First generation",80
"Gustavus Adolphus College","Alumni/ae relation",80
"Gustavus Adolphus College","Geographical residence",80
"Gustavus Adolphus College","State residency",80
"Gustavus Adolphus College","Religious affiliation/commitment",80
"Gustavus Adolphus College","Racial/ethnic status",80
"Gustavus Adolphus College","Volunteer work",80
"Gustavus Adolphus College","Work experience",80
"Gustavus Adolphus College","Level of applicant’s interest",80
"Harvard University","Rigor of secondary school record",85
"Harvard University","Class rank",105
"Harvard University","Academic GPA",85
"Harvard University","Standardized test scores",85
"Harvard University","Application Essay",85
"Harvard University","Recommendation(s)",85
"Harvard University","Interview",85
"Harvard University","Extracurricular activities",85
"Harvard University","Talent/ability",85
"Harvard University","Character/personal qualities",85
"Harvard University","First generation",85
"Harvard University","Alumni/ae relation",85
"Harvard University","Geographical residence",85
"Harvard University","State residency",105
"Harvard University","Religious affiliation/commitment",105
"Harvard University","Racial/ethnic status",85
"Harvard University","Volunteer work",85
"Harvard University","Work experience",85
"Harvard University","Level of applicant’s interest",105
"Hiram College","Class rank x",82
"Hiram College","Academic GPA x",44
"Hiram College","Standardized test scores x",101
"Hiram College","Application Essay x",82
"Hiram College","Recommendation(s) x",82
"Hiram College","Interview x",82
"Hiram College","Extracurricular activities x",82
"Hiram College","Talent/ability x",82
"Hiram College","Character/personal qualities x",44
"Hiram College","First generation x",101
"Hiram College","Alumni/ae relation x",82
"Hiram College","Geographical residence x",101
"Hiram College","State residency x",101
"Hiram College","Religious affiliation/commitment x",101
"Hiram College","Racial/ethnic status x",101
"Hiram College","Volunteer work x",82
"Hiram College","Work experience x",82
"Hiram College","Level of applicant’s interest x",44
"Hollins University","Rigor of secondary school record",63
"Hollins University","Class rank",81
"Hollins University","Academic GPA",42
"Hollins University","Standardized test scores",81
"Hollins University","Application Essay",63
"Hollins University","Recommendation(s)",63
"Hollins University","Interview",81
"Hollins University","Extracurricular activities",81
"Hollins University","Talent/ability",81
"Hollins University","Character/personal qualities",81
"Hollins University","First generation",81
"Hollins University","Alumni/ae relation",81
"Hollins University","Geographical residence",81
"Hollins University","State residency",81
"Hollins University","Religious affiliation/commitment",99
"Hollins University","Racial/ethnic status",99
"Hollins University","Volunteer work",81
"Hollins University","Work experience",81
"Hollins University","Level of applicant’s interest",81
"Hope College","Class rank x",80
"Hope College","Academic GPA x",61
"Hope College","Standardized test scores x",61
"Hope College","Application Essay x",80
"Hope College","Recommendation(s) x",80
"Hope College","Interview x",98
"Hope College","Extracurricular activities x",80
"Hope College","Talent/ability x",80
"Hope College","Character/personal qualities x",98
"Hope College","First generation x",98
"Hope College","Alumni/ae relation x",80
"Hope College","Geographical residence x",80
"Hope College","State residency x",98
"Hope College","Religious affiliation/commitment x",98
"Hope College","Racial/ethnic status x",98
"Hope College","Volunteer work x",98
"Hope College","Work experience x",98
"Hope College","Level of applicant’s interest x",98
"Howard University","Class rank",81
"Howard University","Academic GPA",43
"Howard University","Standardized test scores",81
"Howard University","Application Essay",62
"Howard University","Recommendation(s)",62
"Howard University","Interview",100
"Howard University","Extracurricular activities",81
"Howard University","Talent/ability",81
"Howard University","Character/personal qualities",62
"Howard University","First generation",81
"Howard University","Alumni/ae relation",81
"Howard University","Geographical residence",100
"Howard University","State residency",100
"Howard University","Religious affiliation/commitment",100
"Howard University","Racial/ethnic status",100
"Howard University","Volunteer work",81
"Howard University","Work experience",81
"Howard University","Level of applicant’s interest",81
"Illinois Institute of Technology","Rigor of secondary school record",44
"Illinois Institute of Technology","Class rank",61
"Illinois Institute of Technology","Academic GPA",42
"Illinois Institute of Technology","Standardized test scores",79
"Illinois Institute of Technology","Application Essay",79
"Illinois Institute of Technology","Recommendation(s)",61
"Illinois Institute of Technology","Interview",79
"Illinois Institute of Technology","Extracurricular activities",79
"Illinois Institute of Technology","Talent/ability",79
"Illinois Institute of Technology","Character/personal qualities",79
"Illinois Institute of Technology","First generation",79
"Illinois Institute of Technology","Alumni/ae relation",79
"Illinois Institute of Technology","Geographical residence",97
"Illinois Institute of Technology","State residency",97
"Illinois Institute of Technology","Religious affiliation/commitment",97
"Illinois Institute of Technology","Racial/ethnic status",97
"Illinois Institute of Technology","Volunteer work",79
"Illinois Institute of Technology","Work experience",79
"Illinois Institute of Technology","Level of applicant’s interest",79
"Indiana University of Pennsylvania","Rigor of secondary school record",66
"Indiana University of Pennsylvania","Class rank",86
"Indiana University of Pennsylvania","Academic GPA",45
"Indiana University of Pennsylvania","Standardized test scores",86
"Indiana University of Pennsylvania","Application Essay",86
"Indiana University of Pennsylvania","Recommendation(s)",86
"Indiana University of Pennsylvania","Interview",86
"Indiana University of Pennsylvania","Extracurricular activities",86
"Indiana University of Pennsylvania","Talent/ability",86
"Indiana University of Pennsylvania","Character/personal qualities",86
"Indiana University of Pennsylvania","First generation",86
"Indiana University of Pennsylvania","Alumni/ae relation",105
"Indiana University of Pennsylvania","Geographical residence",105
"Indiana University of Pennsylvania","State residency",105
"Indiana University of Pennsylvania","Religious affiliation/commitment",105
"Indiana University of Pennsylvania","Racial/ethnic status",105
"Indiana University of Pennsylvania","Volunteer work",105
"Indiana University of Pennsylvania","Work experience",105
"Indiana University of Pennsylvania","Level of applicant’s interest",105
"Kansas State University","Rigor of secondary school record",102
"Kansas State University","Class rank",102
"Kansas State University","Academic GPA",46
"Kansas State University","Standardized test scores",64
"Kansas State University","Application Essay",83
"Kansas State University","Recommendation(s)",83
"Kansas State University","Interview",102
"Kansas State University","Extracurricular activities",102
"Kansas State University","Talent/ability",102
"Kansas State University","Character/personal qualities",102
"Kansas State University","First generation",102
"Kansas State University","Alumni/ae relation",102
"Kansas State University","Geographical residence",102
"Kansas State University","State residency",102
"Kansas State University","Religious affiliation/commitment",102
"Kansas State University","Racial/ethnic status",102
"Kansas State University","Volunteer work",102
"Kansas State University","Work experience",102
"Kansas State University","Level of applicant’s interest",102
"Kennesaw State University","Rigor of secondary school record",101
"Kennesaw State University","Class rank",101
"Kennesaw State University","Academic GPA",46
"Kennesaw State University","Standardized test scores",46
"Kennesaw State University","Application Essay",101
"Kennesaw State University","Recommendation(s)",101
"Kennesaw State University","Interview",101
"Kennesaw State University","Extracurricular activities",101
"Kennesaw State University","Talent/ability",101
"Kennesaw State University","Character/personal qualities",101
"Kennesaw State University","First generation",101
"Kennesaw State University","Alumni/ae relation",101
"Kennesaw State University","Geographical residence",101
"Kennesaw State University","State residency",101
"Kennesaw State University","Religious affiliation/commitment",101
"Kennesaw State University","Racial/ethnic status",101
"Kennesaw State University","Volunteer work",101
"Kennesaw State University","Work experience",101
"Kennesaw State University","Level of applicant’s interest",101
"Lake Forest College","Class rank",83
"Lake Forest College","Academic GPA",64
"Lake Forest College","Standardized test scores",83
"Lake Forest College","Application Essay",44
"Lake Forest College","Recommendation(s)",83
"Lake Forest College","Interview",44
"Lake Forest College","Extracurricular activities",44
"Lake Forest College","Talent/ability",44
"Lake Forest College","Character/personal qualities",44
"Lake Forest College","First generation",83
"Lake Forest College","Alumni/ae relation",83
"Lake Forest College","Geographical residence",83
"Lake Forest College","State residency",102
"Lake Forest College","Religious affiliation/commitment",102
"Lake Forest College","Racial/ethnic status",102
"Lake Forest College","Volunteer work",83
"Lake Forest College","Work experience",83
"Lake Forest College","Level of applicant’s interest",83
"Lehigh University","Rigor of secondary school record x",49
"Lehigh University","Class rank x",68
"Lehigh University","Academic GPA x",47
"Lehigh University","Standardized test scores x",68
"Lehigh University","Application Essay x",68
"Lehigh University","Recommendation(s) x",68
"Lehigh University","Interview x",87
"Lehigh University","Extracurricular activities x",68
"Lehigh University","Talent/ability x",68
"Lehigh University","Character/personal qualities x",68
"Lehigh University","First generation x",87
"Lehigh University","Alumni/ae relation x",87
"Lehigh University","Geographical residence x",87
"Lehigh University","State residency x",87
"Lehigh University","Religious affiliation/commitment x",106
"Lehigh University","Racial/ethnic status x",68
"Lehigh University","Volunteer work x",68
"Lehigh University","Work experience x",87
"Lehigh University","Level of applicant’s interest x",68
"Loyola University Chicago","Rigor of secondary school record",47
"Loyola University Chicago","Class rank",85
"Loyola University Chicago","Academic GPA",45
"Loyola University Chicago","Standardized test scores",85
"Loyola University Chicago","Application Essay",66
"Loyola University Chicago","Recommendation(s)",66
"Loyola University Chicago","Interview",85
"Loyola University Chicago","Extracurricular activities",66
"Loyola University Chicago","Talent/ability",85
"Loyola University Chicago","Character/personal qualities",66
"Loyola University Chicago","First generation",85
"Loyola University Chicago","Alumni/ae relation",85
"Loyola University Chicago","Geographical residence",85
"Loyola University Chicago","State residency",85
"Loyola University Chicago","Religious affiliation/commitment",105
"Loyola University Chicago","Racial/ethnic status",105
"Loyola University Chicago","Volunteer work",66
"Loyola University Chicago","Work experience",66
"Loyola University Chicago","Level of applicant’s interest",66
"Lycoming College","Rigor of secondary school record x",45
"Lycoming College","Class rank x",59
"Lycoming College","Academic GPA x",57
"Lycoming College","Standardized test scores x",59
"Lycoming College","Application Essay x",59
"Lycoming College","Recommendation(s) x",45
"Lycoming College","Interview x",59
"Lycoming College","Extracurricular activities x",73
"Lycoming College","Talent/ability x",73
"Lycoming College","Character/personal qualities x",73
"Lycoming College","First generation x",73
"Lycoming College","Alumni/ae relation x",73
"Lycoming College","Geographical residence x",73
"Lycoming College","State residency x",73
"Lycoming College","Religious affiliation/commitment x",87
"Lycoming College","Racial/ethnic status x",73
"Lycoming College","Volunteer work x",73
"Lycoming College","Work experience x",73
"Lycoming College","Level of applicant’s interest x",73
"Macalester College","Class rank x",84
"Macalester College","Academic GPA x",45
"Macalester College","Standardized test scores x",84
"Macalester College","Application Essay x",65
"Macalester College","Recommendation(s) x",65
"Macalester College","Interview x",84
"Macalester College","Extracurricular activities x",65
"Macalester College","Talent/ability x",84
"Macalester College","Character/personal qualities x",65
"Macalester College","First generation x",84
"Macalester College","Alumni/ae relation x",84
"Macalester College","Geographical residence x",84
"Macalester College","State residency x",84
"Macalester College","Religious affiliation/commitment x",104
"Macalester College","Racial/ethnic status x",84
"Macalester College","Volunteer work x",84
"Macalester College","Work experience x",84
"Macalester College","Level of applicant’s interest x",104
"Marist College","Class rank x",83
"Marist College","Academic GPA x",45
"Marist College","Standardized test scores x",83
"Marist College","Application Essay x",83
"Marist College","Recommendation(s) x",64
"Marist College","Interview x",102
"Marist College","Extracurricular activities x",83
"Marist College","Talent/ability x",83
"Marist College","Character/personal qualities x",64
"Marist College","First generation x",83
"Marist College","Alumni/ae relation x",102
"Marist College","Geographical residence x",83
"Marist College","State residency x",102
"Marist College","Religious affiliation/commitment x",102
"Marist College","Racial/ethnic status x",83
"Marist College","Volunteer work x",83
"Marist College","Work experience x",83
"Marist College","Level of applicant’s interest x",83
"Marquette University","Rigor of secondary school record x",44
"Marquette University","Class rank x",81
"Marquette University","Academic GPA x",42
"Marquette University","Standardized test scores x",63
"Marquette University","Application Essay x",63
"Marquette University","Recommendation(s) x",81
"Marquette University","Interview x",81
"Marquette University","Extracurricular activities x",63
"Marquette University","Talent/ability x",81
"Marquette University","Character/personal qualities x",81
"Marquette University","First generation x",81
"Marquette University","Alumni/ae relation x",99
"Marquette University","Geographical residence x",99
"Marquette University","State residency x",99
"Marquette University","Religious affiliation/commitment x",99
"Marquette University","Racial/ethnic status x",99
"Marquette University","Volunteer work x",63
"Marquette University","Work experience x",81
"Marquette University","Level of applicant’s interest x",99
"Metropolitan State University of Denver","Rigor of secondary school record x",91
"Metropolitan State University of Denver","Class rank x",117
"Metropolitan State University of Denver","Academic GPA x",89
"Metropolitan State University of Denver","Standardized test scores x",91
"Metropolitan State University of Denver","Application Essay x",91
"Metropolitan State University of Denver","Recommendation(s) x",91
"Metropolitan State University of Denver","Interview x",117
"Metropolitan State University of Denver","Extracurricular activities x",91
"Metropolitan State University of Denver","Talent/ability x",91
"Metropolitan State University of Denver","Character/personal qualities x",91
"Metropolitan State University of Denver","First generation x",117
"Metropolitan State University of Denver","Alumni/ae relation x",117
"Metropolitan State University of Denver","Geographical residence x",117
"Metropolitan State University of Denver","State residency x",117
"Metropolitan State University of Denver","Religious affiliation/commitment x",117
"Metropolitan State University of Denver","Racial/ethnic status x",117
"Metropolitan State University of Denver","Volunteer work x",91
"Metropolitan State University of Denver","Work experience x",91
"Metropolitan State University of Denver","Level of applicant’s interest x",117
"MICHIGAN STATE UNIVERSITY","Rigor of secondary school record",65
"MICHIGAN STATE UNIVERSITY","Class rank",84
"MICHIGAN STATE UNIVERSITY","Academic GPA",45
"MICHIGAN STATE UNIVERSITY","Standardized test scores",84
"MICHIGAN STATE UNIVERSITY","Application Essay",45
"MICHIGAN STATE UNIVERSITY","Recommendation(s)",84
"MICHIGAN STATE UNIVERSITY","Interview",84
"MICHIGAN STATE UNIVERSITY","Extracurricular activities",65
"MICHIGAN STATE UNIVERSITY","Talent/ability",65
"MICHIGAN STATE UNIVERSITY","Character/personal qualities",65
"MICHIGAN STATE UNIVERSITY","First generation",84
"MICHIGAN STATE UNIVERSITY","Alumni/ae relation",84
"MICHIGAN STATE UNIVERSITY","Geographical residence",65
"MICHIGAN STATE UNIVERSITY","State residency",84
"MICHIGAN STATE UNIVERSITY","Religious affiliation/commitment",103
"MICHIGAN STATE UNIVERSITY","Racial/ethnic status",103
"MICHIGAN STATE UNIVERSITY","Volunteer work",84
"MICHIGAN STATE UNIVERSITY","Work experience",84
"MICHIGAN STATE UNIVERSITY","Level of applicant’s interest",65
"Michigan Technological University","Rigor of secondary school record",63
"Michigan Technological University","Class rank",99
"Michigan Technological University","Academic GPA",44
"Michigan Technological University","Standardized test scores",63
"Michigan Technological University","Application Essay",81
"Michigan Technological University","Recommendation(s)",81
"Michigan Technological University","Interview",99
"Michigan Technological University","Extracurricular activities",81
"Michigan Technological University","Talent/ability",81
"Michigan Technological University","Character/personal qualities",81
"Michigan Technological University","First generation",99
"Michigan Technological University","Alumni/ae relation",99
"Michigan Technological University","Geographical residence",99
"Michigan Technological University","State residency",99
"Michigan Technological University","Religious affiliation/commitment",99
"Michigan Technological University","Racial/ethnic status",99
"Michigan Technological University","Volunteer work",99
"Michigan Technological University","Work experience",99
"Michigan Technological University","Level of applicant’s interest",99
"Mississippi State University","Class rank",74
"Mississippi State University","Academic GPA",46
"Mississippi State University","Standardized test scores",91
"Mississippi State University","Application Essay",111
"Mississippi State University","Recommendation(s)",111
"Mississippi State University","Interview",111
"Mississippi State University","Extracurricular activities",111
"Mississippi State University","Talent/ability",111
"Mississippi State University","Character/personal qualities",111
"Mississippi State University","First generation",111
"Mississippi State University","Alumni/ae relation",111
"Mississippi State University","Geographical residence",111
"Mississippi State University","State residency",91
"Mississippi State University","Religious affiliation/commitment",111
"Mississippi State University","Racial/ethnic status",111
"Mississippi State University","Volunteer work",111
"Mississippi State University","Work experience",111
"Mississippi State University","Level of applicant’s interest",111
"Mount Marty University","Rigor of secondary school record",72
"Mount Marty University","Class rank",72
"Mount Marty University","Academic GPA",46
"Mount Marty University","Standardized test scores",45
"Mount Marty University","Application Essay",85
"Mount Marty University","Recommendation(s)",85
"Mount Marty University","Interview",86
"Mount Marty University","Extracurricular activities",86
"Mount Marty University","Talent/ability",86
"Mount Marty University","Character/personal qualities",86
"Mount Marty University","First generation",86
"Mount Marty University","Alumni/ae relation",86
"Mount Marty University","Geographical residence",86
"Mount Marty University","State residency",86
"Mount Marty University","Religious affiliation/commitment",86
"Mount Marty University","Racial/ethnic status",86
"Mount Marty University","Volunteer work",86
"Mount Marty University","Work experience",86
"Mount Marty University","Level of applicant’s interest",86
"Northwestern University","Class rank",43
"Northwestern University","Academic GPA",43
"Northwestern University","Standardized test scores",79
"Northwestern University","Application Essay",43
"Northwestern University","Recommendation(s)",43
"Northwestern University","Interview",79
"Northwestern University","Extracurricular activities",43
"Northwestern University","Talent/ability",43
"Northwestern University","Character/personal qualities",43
"Northwestern University","First generation",79
"Northwestern University","Alumni/ae relation",79
"Northwestern University","Geographical residence",98
"Northwestern University","State residency",98
"Northwestern University","Religious affiliation/commitment",98
"Northwestern University","Racial/ethnic status",79
"Northwestern University","Volunteer work",79
"Northwestern University","Work experience",79
"Northwestern University","Level of applicant’s interest",79
"Oakland University","Rigor of secondary school record",66
"Oakland University","Class rank",105
"Oakland University","Academic GPA",45
"Oakland University","Standardized test scores",86
"Oakland University","Application Essay",86
"Oakland University","Recommendation(s)",86
"Oakland University","Interview",105
"Oakland University","Extracurricular activities",105
"Oakland University","Talent/ability",105
"Oakland University","Character/personal qualities",105
"Oakland University","First generation",105
"Oakland University","Alumni/ae relation",105
"Oakland University","Geographical residence",105
"Oakland University","State residency",105
"Oakland University","Religious affiliation/commitment",105
"Oakland University","Racial/ethnic status",105
"Oakland University","Volunteer work",105
"Oakland University","Work experience",105
"Oakland University","Level of applicant’s interest",105
"Pepperdine University","Rigor of secondary school record",74
"Pepperdine University","Class rank",126
"Pepperdine University","Academic GPA",74
"Pepperdine University","Standardized test scores",110
"Pepperdine University","Application Essay",74
"Pepperdine University","Recommendation(s)",90
"Pepperdine University","Interview",110
"Pepperdine University","Extracurricular activities",74
"Pepperdine University","Talent/ability",74
"Pepperdine University","Character/personal qualities",74
"Pepperdine University","First generation",110
"Pepperdine University","Alumni/ae relation",110
"Pepperdine University","Geographical residence",126
"Pepperdine University","State residency",126
"Pepperdine University","Religious affiliation/commitment",74
"Pepperdine University","Racial/ethnic status",110
"Pepperdine University","Volunteer work",90
"Pepperdine University","Work experience",110
"Pepperdine University","Level of applicant’s interest",126
"Pitzer College","Rigor of secondary school record",46
"Pitzer College","Class rank",84
"Pitzer College","Academic GPA",44
"Pitzer College","Standardized test scores",103
"Pitzer College","Application Essay",46
"Pitzer College","Recommendation(s)",65
"Pitzer College","Interview",84
"Pitzer College","Extracurricular activities",65
"Pitzer College","Talent/ability",65
"Pitzer College","Character/personal qualities",46
"Pitzer College","First generation",84
"Pitzer College","Alumni/ae relation",84
"Pitzer College","Geographical residence",84
"Pitzer College","State residency",84
"Pitzer College","Religious affiliation/commitment",103
"Pitzer College","Racial/ethnic status",84
"Pitzer College","Volunteer work",65
"Pitzer College","Work experience",84
"Pitzer College","Level of applicant’s interest",84
"Point Park University","Rigor of secondary school record",66
"Point Park University","Class rank",104
"Point Park University","Academic GPA",44
"Point Park University","Standardized test scores",66
"Point Park University","Application Essay",104
"Point Park University","Recommendation(s)",104
"Point Park University","Interview",104
"Point Park University","Extracurricular activities",104
"Point Park University","Talent/ability",46
"Point Park University","Character/personal qualities",104
"Point Park University","First generation",104
"Point Park University","Alumni/ae relation",104
"Point Park University","Geographical residence",104
"Point Park University","State residency",104
"Point Park University","Religious affiliation/commitment",104
"Point Park University","Racial/ethnic status",104
"Point Park University","Volunteer work",104
"Point Park University","Work experience",104
"Point Park University","Level of applicant’s interest",104
"Providence College","Rigor of secondary school record",44
"Providence College","Class rank",81
"Providence College","Academic GPA",42
"Providence College","Standardized test scores",81
"Providence College","Application Essay",44
"Providence College","Recommendation(s)",63
"Providence College","Interview",99
"Providence College","Extracurricular activities",63
"Providence College","Talent/ability",81
"Providence College","Character/personal qualities",63
"Providence College","First generation",81
"Providence College","Alumni/ae relation",81
"Providence College","Geographical residence",81
"Providence College","State residency",99
"Providence College","Religious affiliation/commitment",99
"Providence College","Racial/ethnic status",81
"Providence College","Volunteer work",81
"Providence College","Work experience",81
"Providence College","Level of applicant’s interest",81
"Quinnipiac University","Class rank",98
"Quinnipiac University","Academic GPA",43
"Quinnipiac University","Standardized test scores",61
"Quinnipiac University","Application Essay",61
"Quinnipiac University","Recommendation(s)",61
"Quinnipiac University","Interview",61
"Quinnipiac University","Extracurricular activities",61
"Quinnipiac University","Talent/ability",98
"Quinnipiac University","Character/personal qualities",43
"Quinnipiac University","First generation",61
"Quinnipiac University","Alumni/ae relation",61
"Quinnipiac University","Geographical residence",61
"Quinnipiac University","State residency",61
"Quinnipiac University","Religious affiliation/commitment",98
"Quinnipiac University","Racial/ethnic status",98
"Quinnipiac University","Volunteer work",61
"Quinnipiac University","Work experience",79
"Quinnipiac University","Level of applicant’s interest",61
"Rhode Island College","Rigor of secondary school record x",56
"Rhode Island College","Class rank x",113
"Rhode Island College","Academic GPA x",54
"Rhode Island College","Standardized test scores x",96
"Rhode Island College","Application Essay x",56
"Rhode Island College","Recommendation(s) x",96
"Rhode Island College","Interview x",113
"Rhode Island College","Extracurricular activities x",96
"Rhode Island College","Talent/ability x",96
"Rhode Island College","Character/personal qualities x",77
"Rhode Island College","First generation x",96
"Rhode Island College","Alumni/ae relation x",96
"Rhode Island College","Geographical residence x",113
"Rhode Island College","State residency x",113
"Rhode Island College","Religious affiliation/commitment x",113
"Rhode Island College","Racial/ethnic status x",113
"Rhode Island College","Volunteer work x",96
"Rhode Island College","Work experience x",96
"Rhode Island College","Level of applicant’s interest x",113
"Rowan University","Rigor of secondary school record",62
"Rowan University","Class rank",99
"Rowan University","Academic GPA",43
"Rowan University","Standardized test scores",81
"Rowan University","Application Essay",81
"Rowan University","Recommendation(s)",81
"Rowan University","Interview",99
"Rowan University","Extracurricular activities",99
"Rowan University","Talent/ability",81
"Rowan University","Character/personal qualities",99
"Rowan University","First generation",99
"Rowan University","Alumni/ae relation",99
"Rowan University","Geographical residence",99
"Rowan University","State residency",99
"Rowan University","Religious affiliation/commitment",99
"Rowan University","Racial/ethnic status",99
"Rowan University","Volunteer work",99
"Rowan University","Work experience",99
"Rowan University","Level of applicant’s interest",99
"Saint Vincent College","Rigor of secondary school record x",44
"Saint Vincent College","Class rank x",81
"Saint Vincent College","Academic GPA x",42
"Saint Vincent College","Standardized test scores x",81
"Saint Vincent College","Application Essay x",63
"Saint Vincent College","Recommendation(s) x",81
"Saint Vincent College","Interview x",63
"Saint Vincent College","Extracurricular activities x",81
"Saint Vincent College","Talent/ability x",98
"Saint Vincent College","Character/personal qualities x",63
"Saint Vincent College","First generation x",81
"Saint Vincent College","Alumni/ae relation x",81
"Saint Vincent College","Geographical residence x",81
"Saint Vincent College","State residency x",98
"Saint Vincent College","Religious affiliation/commitment x",98
"Saint Vincent College","Racial/ethnic status x",98
"Saint Vincent College","Volunteer work x",81
"Saint Vincent College","Work experience x",81
"Saint Vincent College","Level of applicant’s interest x",98
"San José State University","Rigor of secondary school record",44
"San José State University","Class rank",99
"San José State University","Academic GPA",42
"San José State University","Standardized test scores",99
"San José State University","Application Essay",99
"San José State University","Recommendation(s)",99
"San José State University","Interview",99
"San José State University","Extracurricular activities",99
"San José State University","Talent/ability",99
"San José State University","Character/personal qualities",99
"San José State University","First generation",81
"San José State University","Alumni/ae relation",99
"San José State University","Geographical residence",63
"San José State University","State residency",63
"San José State University","Religious affiliation/commitment",99
"San José State University","Racial/ethnic status",99
"San José State University","Volunteer work",99
"San José State University","Work experience",99
"San José State University","Level of applicant’s interest",99
"Siena College","Rigor of secondary school record x",44
"Siena College","Class rank x",80
"Siena College","Academic GPA x",42
"Siena College","Standardized test scores x",80
"Siena College","Application Essay x",80
"Siena College","Recommendation(s) x",62
"Siena College","Interview x",62
"Siena College","Extracurricular activities x",80
"Siena College","Talent/ability x",80
"Siena College","Character/personal qualities x",80
"Siena College","First generation x",80
"Siena College","Alumni/ae relation x",80
"Siena College","Geographical residence x",80
"Siena College","State residency x",97
"Siena College","Religious affiliation/commitment x",97
"Siena College","Racial/ethnic status x",80
"Siena College","Volunteer work x",80
"Siena College","Work experience x",80
"Siena College","Level of applicant’s interest x",80
"Skidmore College","Class rank",70
"Skidmore College","Academic GPA",70
"Skidmore College","Standardized test scores",89
"Skidmore College","Application Essay",70
"Skidmore College","Recommendation(s)",70
"Skidmore College","Interview",89
"Skidmore College","Extracurricular activities",70
"Skidmore College","Talent/ability",70
"Skidmore College","Character/personal qualities",70
"Skidmore College","First generation",89
"Skidmore College","Alumni/ae relation",89
"Skidmore College","Geographical residence",89
"Skidmore College","State residency",108
"Skidmore College","Religious affiliation/commitment",108
"Skidmore College","Racial/ethnic status",89
"Skidmore College","Volunteer work",70
"Skidmore College","Work experience",70
"Skidmore College","Level of applicant’s interest",70
"Slippery Rock University","Class rank",61
"Slippery Rock University","Academic GPA",61
"Slippery Rock University","Standardized test scores",61
"Slippery Rock University","Application Essay",79
"Slippery Rock University","Recommendation(s)",79
"Slippery Rock University","Interview",98
"Slippery Rock University","Extracurricular activities",98
"Slippery Rock University","Talent/ability",79
"Slippery Rock University","Character/personal qualities",98
"Slippery Rock University","First generation",98
